date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:21:16	2249/2249	---MC-	200	added ('OK')	text/xml	date:Wed,%2019%20May%202021%2001:21:15%20GMT	https://starboy.finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fstarboy.finance%2F&format=xml	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-json/oembed/1.0/embed8807	(from https://starboy.finance/)
03:21:16	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2019%20May%202021%2001:21:16%20GMT	https://starboy.finance/wp-admin/admin-ajax.php	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-admin/admin-ajax.php	(from https://starboy.finance/)
03:21:16	2470/2470	---M--	200	added ('OK')	image/png	etag:%22609e6836-9a6%22	https://starboy.finance/wp-content/uploads/2021/05/cropped-starboy-icon-32x32.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/cropped-starboy-icon-32x32.png	(from https://starboy.finance/)
03:21:16	50247/50247	---M--	200	added ('OK')	image/png	etag:%22609e6836-c447%22	https://starboy.finance/wp-content/uploads/2021/05/cropped-starboy-icon-192x192.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/cropped-starboy-icon-192x192.png	(from https://starboy.finance/)
03:21:17	45551/45551	---M--	200	added ('OK')	image/png	etag:%22609e6836-b1ef%22	https://starboy.finance/wp-content/uploads/2021/05/cropped-starboy-icon-180x180.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/cropped-starboy-icon-180x180.png	(from https://starboy.finance/)
03:21:17	271920/271920	---M--	200	added ('OK')	image/jpeg	etag:%22609e8825-42630%22	https://starboy.finance/wp-content/uploads/2021/05/galaxy-two-scaled.jpg?id=4596	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/galaxy-two-scaled649a.jpg	(from https://starboy.finance/)
03:21:17	40776/40776	---M--	200	added ('OK')	image/png	etag:%22609e678f-9f48%22	https://starboy.finance/wp-content/uploads/2021/05/starboy-logo.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/starboy-logo.png	(from https://starboy.finance/)
03:21:17	105842/105842	---M--	200	added ('OK')	image/png	etag:%22609e4e6f-19d72%22	https://starboy.finance/wp-content/uploads/2021/05/starboy-large.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/starboy-large.png	(from https://starboy.finance/)
03:21:18	43197/43197	---M--	200	added ('OK')	image/png	etag:%22609e6121-a8bd%22	https://starboy.finance/wp-content/uploads/2021/05/starbo-on-whale.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/starbo-on-whale.png	(from https://starboy.finance/)
03:21:18	11479/11479	---M--	200	added ('OK')	image/png	etag:%22609e6cf9-2cd7%22	https://starboy.finance/wp-content/uploads/2021/05/cmc-soon.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/cmc-soon.png	(from https://starboy.finance/)
03:21:18	5252701/5252701	---M--	200	added ('OK')	application/pdf	etag:%22609fc802-50265d%22	https://starboy.finance/wp-content/uploads/2021/05/STARBOY_LITEPAPER_V1.pdf	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/STARBOY_LITEPAPER_V1.pdf	(from https://starboy.finance/)
03:21:18	15794/15794	---M--	200	added ('OK')	image/png	etag:%22609e6cf9-3db2%22	https://starboy.finance/wp-content/uploads/2021/05/cg-soon.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/cg-soon.png	(from https://starboy.finance/)
03:21:18	9170/9170	---M--	200	added ('OK')	image/png	etag:%22609e6cfa-23d2%22	https://starboy.finance/wp-content/uploads/2021/05/blockfolio-soon.png	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/uploads/2021/05/blockfolio-soon.png	(from https://starboy.finance/)
03:21:18	51880/51880	---MCZ	200	added ('OK')	text/css	etag:W/%22609e4c31-caa8%22	https://starboy.finance/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min.css?ver=6.5.0	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.mine6df.css	(from https://starboy.finance/)
03:21:19	14965/14965	---MCZ	200	added ('OK')	text/css	etag:W/%22609e4c31-3a75%22	https://starboy.finance/wp-content/plugins/js_composer/assets/css/lib/typicons/src/font/typicons.min.css?ver=6.5.0	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/js_composer/assets/css/lib/typicons/src/font/typicons.mine6df.css	(from https://starboy.finance/)
03:21:19	34399/34399	---MCZ	200	added ('OK')	text/css	etag:W/%22609e4c31-865f%22	https://starboy.finance/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/v4-shims.min.css?ver=6.5.0	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/v4-shims.mine6df.css	(from https://starboy.finance/)
03:21:19	56425/56425	---MCZ	200	added ('OK')	text/css	etag:W/%22609e4c31-dc69%22	https://starboy.finance/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/all.min.css?ver=6.5.0	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/all.mine6df.css	(from https://starboy.finance/)
03:21:19	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22609e45ba-3f5%22	https://starboy.finance/wp-content/themes/crypterio/assets/css/shared/vc/stm_panel_box.css?ver=2.4.1	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/themes/crypterio/assets/css/shared/vc/stm_panel_box8066.css	(from https://starboy.finance/)
03:21:20	2776/2776	---MCZ	200	added ('OK')	text/css	etag:W/%22609e45ba-ad8%22	https://starboy.finance/wp-content/themes/crypterio/assets/css/shared/vc/stm_timeline_white.css?ver=2.4.1	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/themes/crypterio/assets/css/shared/vc/stm_timeline_white8066.css	(from https://starboy.finance/)
03:21:20	1296/1296	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f29-510%22	https://cdnjs.cloudflare.com/ajax/libs/money.js/0.2.0/money.min.js?ver=0.2.0	C:/Users/Emilio/Documents/GitHub/StarDog/cdnjs.cloudflare.com/ajax/libs/money.js/0.2.0/money.mine480.js	(from https://starboy.finance/)
03:21:20	2806/2806	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609e4c2e-af6%22	https://starboy.finance/wp-content/plugins/virtual_coin_widgets/assets/js/vcw.min.js?ver=2.2.2	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/virtual_coin_widgets/assets/js/vcw.min605a.js	(from https://starboy.finance/)
